Region,DEPARTEMENT,NOM,Mandataire,ADRESSE,TELEPHONE,Mail
Île-de-France,92,Centre conseil VAE 92 - Nanterre,DABM,2-6 bis avenue Vladimir Ilitch Lénine 92000 NANTERRE,01 47 29 79 79,ana.courtial@ac-versailles.fr
Île-de-France,92,Centre conseil VAE 92 - Point relais d'Antony,DABM,42 avenue Aristide Briand 92160 ANTONY,01 47 29 79 79,ana.courtial@ac-versailles.fr
Île-de-France,92,Centre conseil VAE 92 - Point relais d'Asnières sur Seine,DABM,8 rue Scheurer Kestner 92600 ASNIERES SUR SEINE,01 47 29 79 79,ana.courtial@ac-versailles.fr
Île-de-France,92,Centre conseil VAE 92 - Point relais de Boulogne Billancourt,DABM,121 rue d'Aguesseau 92100 BOULOGNE BILLANCOURT,01 47 29 79 79,ana.courtial@ac-versailles.fr
Île-de-France,92,Centre conseil VAE 92 - Point relais de Nanterre,DABM,41 rue des Trois Fontanot 9200 NANTERRE,01 47 29 79 79,ana.courtial@ac-versailles.fr
Île-de-France,93,Centre conseil VAE 93 - Point relais d'Aubervilliers,ASTROLABE,22 Rue Bernard et Mazoyer 93300 AUBERVILLIERS,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 - Point relais d'Aulnay (F. Faure),ASTROLABE,1 rue Auguste Renoir 93600 AULNAY SOUS BOIS,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 - Point relais de Noisy-le-Sec,ASTROLABE,51 rue de Brément 93130 NOISY LE SEC,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 - Point relais de Pantin,ASTROLABE,7-9 rue de la liberté 93500 PANTIN,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 - Point relais de Saint Denis,ASTROLABE,6 Rue Édouard Vaillant 93200 SAINT DENIS,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 - Point relais de Tremblay en France,ASTROLABE,15 Avenue Nelson Mandela 93290 TREMBLAY EN France,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,93,Centre conseil VAE 93 -Villemomble,ASTROLABE,7 avenue Francois Coppée 93250 VILLEMOMBLE,01 48 12 65 07,cbonzani@astolabeformation-pfd.org
Île-de-France,94,Centre conseil VAE du 94 - Agence principale,ASCOVA,70 Avenue du Général de Gaulle 94000 CRETEIL,01 73 13 82 80,c.robin@ascova.fr
Île-de-France,94,Centre conseil VAE 94 - Point d'accueil annexe de Nogent-sur-Marne,ASCOVA,2 Boulevard Albert 1er 94130 NOGENT SUR MARNE,01 73 13 82 80,c.robin@ascova.fr
Île-de-France,94,Centre conseil VAE 94 - Point d'accueil Annexe d'Orly,ASCOVA,Aérogare Orly Sud 94543 ORLY AEROGARE,01 73 13 82 80,c.robin@ascova.fr
Île-de-France,95,Centre conseil VAE 95 - Cergy,ASCOVA,6 rue des Chauffours 95000 CERGY,01 34 35 42 10,c.robin@ascova.fr
Île-de-France,95,Centre conseil VAE 95 - Point relais de Garges lès Gonesse,ASCOVA,Avenue Charles de Gaulle 95140 GARGES LES GONESSE,01 34 35 42 10,c.robin@ascova.fr
Île-de-France,95,Centre conseil VAE 95 - Point relais de Gonesse,ASCOVA,5 avenue François Mitterrand 95500 GONESSE,01 34 35 42 10,c.robin@ascova.fr
Île-de-France,95,Centre conseil VAE 95 - Point relais de Goussainville,ASCOVA,13 avenue Marcel Cerdan 95190 GOUSSAINVILLE,01 34 35 42 10,c.robin@ascova.fr
Île-de-France,95,Centre conseil VAE 95 - Point relais d'Ermont,ASCOVA,37 bis rue Maurice Berteaux 95120 ERMONT,01 34 35 42 10,c.robin@ascova.fr
Bourgogne Franche Comté,21,CIBC Bourgogne du Sud,CIBC Bourgogne du Sud,21 rue Louis de Broglie - 21000 DIJON,03 85 90 97 97,info@cibc-bourgogne.fr
Bourgogne Franche Comté,70,GRETA CFA HAUTE SAONE NORD FRANCHE COMTE,GRETA CFA HSFNC,18 rue Edouard Belin 70000 VESOUL,03 84 76 07 46,greta.hsnfc@ac-besancon.fr
Bourgogne Franche Comté,39,CIBC DU JURA,CIBC DU JURA,33 Place de la Comédie 39000 LONS LE SAUNIER,03 84 24 80 29,cibc@emc-cibc-jura.fr
Bourgogne Franche Comté,58,CIBC DE LA NIEVRE,CIBC DE LA NIEVRE,7 rue de Remigny 58000 NEVERS,03 86 93 00 20,contact@cibc58.fr
Bourgogne Franche Comté,71,CIBC Bourgogne du Sud,CIBC Bourgogne du Sud,12D avenue du Général Leclerc 71100 CHALON SUR SAONE,03 85 90 97 97,info@cibc-bourgogne.fr
Bourgogne Franche Comté,71,AGIRE,CIBC Bourgogne du Sud,5 avenue François Mitterrand 71200 LE CREUSOT,03 85 77 68 01,contact@agire-cucm.fr
Bourgogne Franche Comté,71,CILEF,CIBC Bourgogne du Sud,1 rue des Pierres 71400 AUTUN,03 85 86 51 92,contact@cilef.fr
Bourgogne Franche Comté,71,MIP LOUHANS,CIBC Bourgogne du Sud,4 promenade des Cordeliers 71500 LOUHANS,03 85 76 08 25,mip.louhans@wanadoo.fr
Bourgogne Franche Comté,89,CIBC Bourgogne du Sud,CIBC Bourgogne du Sud,26 rue du Clos 89000 AUXERRE,03 85 90 97 97,info@cibc-bourgogne.fr
Bourgogne Franche Comté,89,Maison de l'Emploi et de l'Auxerrois,CIBC Bourgogne du Sud,1 avenue St Georges 89000 AUXERRE,03 84 46 28 57,contact@mdeauxerrois.com
Bourgogne Franche Comté,25,RETRAVAILLER FC AFFC,RETRAVAILLER EGP,5 rue Elisée Cusenier 25000 BESANCON,03 83 31 29 37,vae-bfc@retravailler.org
Bourgogne Franche Comté,90,GRETA CFA HAUTE SAONE NORD FRANCHE COMTE,GRETA CFA HSFNC,Lycée Courbet avenue Général Gamblet 90000 BELFORT,03 84 26 63 61,greta.hsnfc@ac-besancon.fr
Occitanie,09,Espace Conseil VAE - CIBC Pyrénéees Méditerranée,CIBC- AgirE,18 rue de l'Espinet - 09000 Foix,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,11,Espace Conseil VAE - Espace numérique,AD'OC CONSEIL,302 rue Lamark- 11000 CARCASSONNE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,11,Espace Conseil VAE - IN'ESS,AD'OC CONSEIL,30 avenue du Docteur Pompidor - 11100 NARVONNE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,11,Espace Conseil VAE - Espace Colette Lagoutte,AD'OC CONSEIL,22 rue des Augustins - 11300 LIMOUX,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,11,Espace Conseil VAE - Pôle emploi,AD'OC CONSEIL,4 bis rue Henri Becquerel - 11200 LEZIGNAN-CORBIERES,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,11,Espace Conseil VAE - Maison des Associations,AD'OC CONSEIL,1 avenue de Lattre de Tassigny - 11400 CASTELNAUDARY,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,12,Espace Conseil VAE - CIBC Pyrénéees Méditerranée,CIBC- AgirE,ZI du Centre 12300 DECAZEVILLE,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,12,Espace Conseil VAE - CIBC Pyrénéees Méditerranée,CIBC- AgirE,41-43 rue Béteille - 12000 RODEZ,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,30,Espace Conseil VAE - APEC Ville Active,AD'OC CONSEIL,Bâtiment Ellipsys - 125 rue de l'Hostellerie - 30900 NÎMES,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,30,Espace Conseil VAE - ADRH,AD'OC CONSEIL,2 rue Marcel Paul - 30100 ALES,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,30,Espace Conseil VAE - Pôle emploi,AD'OC CONSEIL,520 avenue Roger Salengro - 30200 BAGNOLS-SUR -CEZE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,30,Espace Conseil VAE - Pôle emploi,AD'OC CONSEIL,1133 Chemin Clapas de Cornut - 30300 BEAUCAIRE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,30,Espace Conseil VAE - Maison de la Formation et des Entreprises,AD'OC CONSEIL,30 Route du Pont de la Croix - 30120 LE VIGAN,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,31,Espace Conseil VAE - CIBC du Nord Ouest Toulousain,CIBC- AgirE,Bât Aristote- 2ème et. - 25 bd Victor Hugo - 31770 COLOMIERS,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE - CIBC Pyrénéees Méditerranée,CIBC- AgirE,"Espace Emploi Formation - Village d'Entreprises - 
25 rue Pierre Gilles de Gennes - Bât 10 - 31670 LABEGE",0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE - CIBC Sud Midi-Pyrénées,CIBC- AgirE,Hotel de Lassus - 6 rue du Barry - 31210 MONTREJEAU,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE - CIBC Sud Midi-Pyrénées,CIBC- AgirE,4 rue de l'Indépendance - 31800 SAINT-GAUDENS,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE- Centre Occitanie - Comité de Bassin d'Emploi,CIBC- AgirE,12 avenue de Castelnaudary - 31250 REVEL,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE- CIBC AgirE,CIBC- AgirE,"35 rue Bernard de Ventadour - Immeuble AROPA 1er étage -
 31000 TOULOUSE",0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,"Espace Conseil VAE- CIBC AgirE - Point d'Appui de l'Emploi et de 
la Formation",CIBC- AgirE,8 rue Jean Jaurès - 31600 MURET,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,31,Espace Conseil VAE - CIBC AgirE - Point d'Appui Muretain,CIBC- AgirE,8 rue de l'Hôtel de Ville - 31120 PORTET - SUR - GARONNE,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,32,Espace Conseil VAE - CIBC du Nord Ouest Toulousain,CIBC- AgirE,35 rue de Metz -32000 AUCH,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,34,Espace Conseil VAE,AD'OC CONSEIL,121 rue d'Athènes - Villa Hadriana - 34000 MONTPELLIER,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,34,Espace Conseil VAE - Mission Locale,AD'OC CONSEIL,356 avenue des Abrivados - 34400 LUNEL,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,34,Espace Conseil VAE - CCI,AD'OC CONSEIL,220 avenue du Maréchal Juin - 34200 SETE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,34,Epace Conseil VAE,AD'OC CONSEIL,"Centre d'Affaires La Domitienne - 
45 avenue de la Voie Domitienne - 34500 BEZIERS",0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,34,Espace Conseil VAE - Pôle emploi,AD'OC CONSEIL,16 bis avenue de Montpellier - 34800 CLERMONT-L'HERAULT,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,34,Espace Conseil - Mission Locale,AD'OC CONSEIL,1 place Francis Morand - 34700 LODEVE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,46,Espace Conseil VAE - CIBC AgirE,CIBC- AgirE,92 chemin Belle- Croix - 46000 CAHORS,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,46,Espace Conseil VAE - CIBC AgirE,CIBC- AgirE,10 boulevard Pasteur - 46100 FIGEAC,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,48,Espace Conseil VAE - Maison de Région,AD'OC CONSEIL,9 bis boulevard Théophile Roussel - 48000 MENDE,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,65,Espace Conseil VAE - CIBC Sud Midi-Pyrénées,CIBC- AgirE,16 rue Massey - 65000 TARBES,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,66,Espace Conseil VAE,AD'OC CONSEIL,15 avenue de Grande Bretagne - 66000 PERPIGNAN,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,66,Espace Conseil VAE - Pôle Jeunesse,AD'OC CONSEIL,Boulevard de la Gare - 66500 PRADES,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,66,Espace conseil VAE- Maison Sociale de proximité,AD'OC CONSEIL,Vallespir - 25 avenue François Mitterand - 66400 CERET,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,66,Espace Conseil VAE - Maison Sociale de proximité,AD'OC CONSEIL,74 avenue Emile Zola - 66600 RIVESALTES,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,66,Espace Conseil VAE - Maison Sociale de proximité,AD'OC CONSEIL,213 avenue Charlemagne - 66008 ARGELES - SUR - MER,0800 00 73 73,contact@espace-conseil-vae.fr
Occitanie,81,Espace Conseil VAE - CIBC Centre Occitanie,CIBC- AgirE,17 rue Gabriel Compayré - 81000 ALBI,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,81,Espace Conseil VAE - CIBC Centre Occitanie,CIBC- AgirE,10 route de la Casse - 81300 GRAULHET,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,81,Espace Conseil VAE - CIBC Centre Occitanie,CIBC- AgirE,23 bis rue Maillot - 81100 CASTRES,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,82,Espace Conseil VAE - CIBC AgirE,CIBC- AgirE,"Domaine des Parages - Albasud - 
51 route de Bressols - 82000 MONTAUBAN",0800 00 70 70,espaceconseilvae@cibc-agire.fr
Occitanie,82,Espace Conseil VAE - CIBC AgirE,CIBC- AgirE,57 avenue du LMaréchal Leclerc - 82000 MONTAUBAN,0800 00 70 70,espaceconseilvae@cibc-agire.fr
Nouvelle-Aquitaine,16,Point Régional Conseil 16,CIBC Nord Nouvelle-Aquitaine,65 IMPASSE Joseph Niepce 16000 ANGOULEME,05 57 57 55 66,info@cibc-nordnouvelleaquitaine.fr
Nouvelle-Aquitaine,17,Point Régional Conseil 17,CIDFF 17,88 rue de Bel air - 1er étage- 17000 LA ROCHELLE,05 57 57 55 66,direction@cidff17.org
Nouvelle-Aquitaine,19,Point Régional Conseil 19,CCI CORREZE,25 avenue Edouard Herriot- 19100 BRIVE LA GAILLARDE,05 57 57 55 66,ceyrignoux@cci.fr
Nouvelle-Aquitaine,24,Point Régional Conseil 24,CIBC SOLUTIONS RH,11 avenue Pompidou- 24000 PERIGUEUX,05 57 57 55 66,contact-perigueux@cibcsolutionsrh.fr
Nouvelle-Aquitaine,33,Point Régional Conseil 33,CIBC 33,15-17 avenue Thiers 33100 BORDEAUX,05 57 57 55 66,accueil@cibc33.fr
Nouvelle-Aquitaine,40,Point Régional Conseil 40,CIBC Sud Aquitaine,1052 rue de la Ferme de Carboué 40000 MONT DE MARSAN,05 57 57 55 66,cathy.bordis@cibcsudaquitaine.net
Nouvelle-Aquitaine,47,Point Régional Conseil 47,CIBC Solutions RH,45 rue Palissy 47000 AGEN,05 57 57 55 66,contact-agen@cibcsolutionsrh.fr
Nouvelle-Aquitaine,64,Point Régional Conseil 64,CIBC Sud Aquitaine,154 avenue Alfred Nobel 64000 PAU,05 57 57 55 66,cathy.bordis@cibcsudaquitaine.net
Nouvelle-Aquitaine,79,Point Régional Conseil 79,CMA 79,22 rue des Herbillaux BP 1989 79010 NIORT cx 9,05 57 57 55 66,nathalie.bourdin@cma-nouvelle-aquitaine.fr
Nouvelle-Aquitaine,86,Point Régional Conseil 86,Indigo Formation,144 rue de la Gibauderie 86000 POITIERS,05 57 57 55 66,prc.vae.vienne@gmail.com
Nouvelle-Aquitaine,87,Point Régional Conseil 87,CCI Haute-Vienne,16 place Jourdan CS60403 87011 LIMOGES cx,05 57 57 55 66,vae@limoges.cci.fr
Nouvelle-Aquitaine,23,Point Régional Conseil 23,CCI de la Creuse,8 avenue d'Auvergne BP 35 23001 GUERET cx,05 57 57 55 66,vae@creuse.cci.fr
Corse,20,Point d'information territoriale en VAE,CCI de Corse et CMA de CORSE,PIT VAE Chambre de métiers et de l'artisanat d'Ajaccio,08 00 10 01 26,pit-vae@isula.corsica
Corse,20,Point d'information territoriale en VAE,CCI de Corse et CMA de CORSE,PIT VAE Chambre de métiers et de l'artisanat de Portivechio,08 00 10 01 26,pit-vae@isula.corsica
Corse,20,Point d'information territoriale en VAE,CCI de Corse et CMA de CORSE,PIT VAE Chambre de métiers et de l'artisanat de Prupià,08 00 10 01 26,pit-vae@isula.corsica
Corse,20,Point d'information territoriale en VAE,CCI de Corse et CMA de CORSE,PIT VAE Chambre de métiers et de l'artisanat de Bastia,08 00 10 01 26,pit-vae@isula.corsica
Corse,20,Point d'information territoriale en VAE,CCI de Corse et CMA de CORSE,PIT VAE Pôle Méditerranéen d'Hébergement et de formation d'Ajaccio,08 00 10 01 26,pit-vae@isula.corsica
